City,Latitude,Longitude
Ahmedabad,23.0216238,72.5797068
Aizawl,23.7435236,92.7382905
Amaravati,16.5096679,80.5184535
Amritsar,31.6343083,74.8736788
Bengaluru,12.9767936,77.590082
Bhopal,23.2584857,77.401989
Brajrajnagar,21.8498594,83.9254698
Chandigarh,30.7334421,76.7797143
Chennai,13.0836939,80.270186
Coimbatore,11.0018115,76.9628425
Delhi,28.6273928,77.1716954
Ernakulam,9.98408,76.2741457
Gurugram,28.4646148,77.0299194
Guwahati,26.1805978,91.753943
Hyderabad,17.360589,78.4740613
Jaipur,26.9154576,75.8189817
Jorapokhar,23.7167069,86.4110166
Kochi,9.9674277,76.2454436
Kolkata,22.5726459,88.3638953
Lucknow,26.8381,80.9346001
Mumbai,18.9733536,72.82810492
Patna,25.6093239,85.1235252
Shillong,25.5760446,91.8825282
Talcher,20.9458183,85.2111736
Thiruvananthapuram,8.4882267,76.947551
Visakhapatnam,17.7231276,83.3012842
